Frame,sRMSD,wRMSD
0,0.0004993655688250263,0.0004993655688250263
1,0.42347750701267173,0.4178075058712818
2,0.5936942968817583,0.5742868089346481
3,0.736876188193686,0.697940324042831
4,0.8277483917223744,0.7657234575196681
5,0.9154696270476702,0.8261679028325697
6,1.0034593209180331,0.8783114812669384
7,1.1156658677730324,0.9380113303109702
8,1.2039396080189866,0.9909144721856905
9,1.3168902288109838,1.040785397092255
10,1.413211686633738,1.092153009253715
11,1.524466895029021,1.1115932317672987
12,1.6147890032589547,1.109154981803778
13,1.7002064193412851,1.120928058258666
14,1.7933926643578815,1.1164276884571633
15,1.8726535619196811,1.1329182275620158
16,1.9558052621080786,1.1284572718263288
17,2.0166707586762223,1.101104611335552
18,2.16068285381386,1.1160285440422972
19,2.252724562188105,1.127633424088871
20,2.3567075941686433,1.122223501936302
21,2.433118703670139,1.1137212608891782
22,2.524405579335556,1.1498088630031644
23,2.6006425077860915,1.1404634374123772
24,2.724244978637557,1.1901086767860285
25,2.784356231693807,1.1834039467655564
26,2.8573464247179228,1.1739729678335529
27,2.9599999110647244,1.2151397362842509
28,3.0435509485990795,1.2504141202779404
29,3.130349577993946,1.2341790070263028
30,3.2096817603636674,1.2810194981294674
31,3.289317799780537,1.2896498699293644
32,3.3734917215876585,1.3247672249626414
33,3.455036828908986,1.3067438847383028
34,3.5313472443813017,1.3276989387622062
35,3.596734258796251,1.313725064200962
36,3.682975182435624,1.3030451575526283
37,3.727137700017682,1.298076599532105
38,3.8156539073308338,1.2808059707121997
39,3.8783074592996285,1.2868495498193793
40,3.9537479113091902,1.2976858292415434
41,4.054539106220638,1.3133361872088651
42,4.098669596436503,1.2903955783313337
43,4.194495486942354,1.3130105334958597
44,4.260409113434067,1.2725471012132041
45,4.365763231643868,1.2983783203596075
46,4.460507649714426,1.2672039416259717
47,4.545893395282107,1.2725158927199312
48,4.65189991706779,1.2953373534210382
49,4.689545603065426,1.273116502536003
50,4.761218688775924,1.2983971635604024
51,4.832288543630224,1.3062410657859593
52,4.943245579469714,1.2858885860338498
53,4.99977385847642,1.2851393465509633
54,5.099816918093969,1.2898904710536354
55,5.160015383608558,1.3012077074813806
56,5.206252036654631,1.2795446500280057
57,5.288325679170557,1.2343653854228596
58,5.409716715046123,1.2684661161391562
59,5.4420101882214995,1.252399998886894
60,5.489634264652658,1.242516496576272
61,5.560460522100217,1.2263621844703427
62,5.638234835164496,1.2241954977151794
63,5.739482228241225,1.2008188625913878
64,5.806156079687572,1.2206234124140445
65,5.876838106103152,1.2456920946677155
66,5.979678718236055,1.2464820215769474
67,6.026823916132864,1.2732449840145599
68,6.164245728017856,1.2902542083800088
69,6.258601188363172,1.2851094044324758
70,6.353061106629611,1.2807153093634966
71,6.365673544458207,1.2266678736940646
72,6.396861103533173,1.2176215066448455
73,6.419577618044939,1.2195843437101617
74,6.485052123792421,1.1842668886459855
75,6.495544015863015,1.2366315721914278
76,6.540614214582465,1.2393309297210278
77,6.616229767899439,1.2620335731353194
78,6.6335173981809525,1.2140260049150644
79,6.663435876772427,1.1849273618155134
80,6.6803920423650505,1.1653312908887141
81,6.663798262335283,1.1828119621838349
82,6.66259708642353,1.1468941645966613
83,6.670561073440447,1.1737200441242874
84,6.729422252538643,1.1732186993410438
85,6.7652267452756565,1.1794293017282838
86,6.758140341490476,1.2139936304697496
87,6.747995040264411,1.2139555672090034
88,6.79096682243498,1.213437937916828
89,6.813248159174694,1.213462266435523
90,6.83341877286986,1.2261503669379241
91,6.802758938146162,1.1972697038879925
92,6.823725454749225,1.208752627394136
93,6.811022461864398,1.216995414152683
94,6.799462350726924,1.1912277786633558
95,6.802842569194604,1.226798304644914
96,6.8135484687234324,1.2053900857466773
97,6.814431713494805,1.2034700641463638
